公司名称,职位名称,公司地址,工资,工作经验,关键字
华云数据,Python,[上海·五角场],15k-30k,经验不限 / 本科, 云计算
上海青客,python工程师,[上海·龙华],15k-25k,经验3-5年 / 本科, 云计算 大数据 数据分析 数据挖掘
贝米钱包,高级Python研发工程师,[上海·徐家汇],15k-30k,经验3-5年 / 本科, 金融 后端开发 MySQL redis 架构
瞬联软件科技（北京）有限公司,python开发工程师,[上海·长宁区],10k-15k,经验不限 / 本科, 后端开发 自动化
众禄金融,Python开发工程师,[深圳·笋岗],18k-25k,经验1-3年 / 本科, 金融 信息安全 php Java web
艾瓦特,Python开发工程师,[长沙·岳麓区],10k-15k,经验3-5年 / 本科, 大数据 数据挖掘 Java 爬虫
飞常准,Python,[南京·百家湖],10k-18k,经验3-5年 / 本科, 大数据 Java 数据库
点触,Python程序员,[厦门·软件园],8k-15k,经验不限 / 不限, 游戏
钱方好近,Python开发工程师,[北京·望京],25k-30k,经验3-5年 / 本科, 节日礼物 带薪年假 绩效奖金 年度旅游
多快好省,Python工程师,[厦门·中华],8k-16k,经验1-3年 / 本科, 五险一金 弹性上班 周末双休 年底双薪
研途教育,Python程序员,[苏州·独墅湖],5k-8k,经验1-3年 / 本科, 后台开发
乐易网络,Python,[深圳·南山区],15k-30k,经验3-5年 / 本科, 前端 php 手机游戏
极课大数据,Python工程师,[北京·朝阳区],15k-25k,经验3-5年 / 大专, 技能培训 节日礼物 带薪年假 绩效奖金
擎天柱,Python 开发工程师,[广州·天园],6k-12k,经验不限 / 不限, 后端开发 linux 平台开发 django
坚果云,Python开发工程师,[上海·浦东新…],20k-40k,经验3-5年 / 本科, 云计算 分布式 redis
华云数据,Python开发工程师,[上海·五角场],15k-22k,经验3-5年 / 本科, 云计算 linux
投融谱华互联网金融,Python开发工程师,[杭州·小河],10k-20k,经验不限 / 大专, 中级 初级 数据分析 linux 大数据
驻云,Python开发工程师,[上海·张江],12k-18k,经验3-5年 / 大专, 股票期权 带薪年假 定期体检 年度旅游
Hileap,Python 开发工程师,[上海·杨浦区],10k-20k,经验不限 / 本科, 云计算 大数据 spark 推荐系统 django
杭州嘉云数据科技有限公司,Python 开发工程师,[杭州·文一路],15k-20k,经验1-3年 / 本科, 有意思的团队 大市场 好待遇 帅哥多
春雨移动健康,Python,[北京·清河],20k-40k,经验3-5年 / 本科, 移动医疗 微服务 服务器研发
卓翰科技,Python研发工程师,[武汉·江夏区],15k-25k,经验1-3年 / 本科, 节日礼物 年底双薪 带薪年假 绩效奖金
武汉佰钧成技术有限公司,Python开发工程师,[深圳·龙华新…],10k-15k,经验1-3年 / 大专, 金融 大数据 Java oracle
北京涛思数据科技有限公司,Python,[北京·望京],25k-50k,经验3-5年 / 本科, 高级 C/C++
复杂美科技,Python开发工程师（8k-14k）,[杭州·西溪],8k-14k,经验3-5年 / 本科, linux Java
乐飞天下,Python开发工程师,[北京·朝阳区],15k-25k,经验3-5年 / 大专, 高级研发工程师
信用飞/首付游,Python开发工程师,[上海·漕河泾],8k-15k,经验1-3年 / 本科, 金融 数据库开发
一亩田,Python开发工程师,[北京·学院路],15k-25k,经验3-5年 / 本科, 大数据 Java 算法
罗辑思维,Python开发工程师,[北京·大望路],25k-50k,经验3-5年 / 本科, 专家 资深 后端开发 MySQL web
找靓机网,Python开发工程师,[深圳·华强北],15k-25k,经验1-3年 / 大专, 爬虫 自然语言处理
深瞐科技,Python 开发工程师,[武汉·东湖新…],8k-12k,经验1-3年 / 本科, Java MySQL
中国亿教亿学网,Python开发工程师,[杭州·三墩],15k-30k,经验3-5年 / 本科, tornado Django/Flask
柔为信息,Python,[上海·徐汇区],12k-20k,经验1-3年 / 本科, 金融 中级 量化
多牛传媒,Python开发工程师-WEB-DNJS0007,[北京·海淀区],12k-24k,经验3-5年 / 本科, 后端开发 php Java Ruby
Veeva,Software Engineer -Python,[北京·朝阳区],25k-35k,经验3-5年 / 本科, 云计算 资深 高级 中级 web
掌贝（云移科技）,Python开发工程师,[广州·岑村],18k-30k,经验3-5年 / 本科, 云计算 资深 高级 中级 linux
聚电互联网,Python开发工程师,[广州·珠江新…],10k-20k,经验3-5年 / 本科, C#/.NET Node.js 算法 爬虫
钱方好近,Python开发,[北京·望京],20k-30k,经验3-5年 / 本科, node.js php Java web
店商互联,Python开发工程师,[北京·中关村],8k-15k,经验1-3年 / 本科, 后端开发 Ruby
五星电器,Python开发工程师,[南京·山西路],7k-12k,经验1-3年 / 本科, 运维 系统工程师
聚合数据,Python开发工程师,[苏州·独墅湖],8k-15k,经验不限 / 本科, 大数据 数据分析 数据挖掘 数据开发
畅唐网络,Python开发工程师,[杭州·西兴],10k-18k,经验1-3年 / 本科, 大数据 Java MySQL hadoop
healthsource,Python开发工程师,[武汉·硚口区],4k-8k,经验不限 / 不限, 爬虫 数据分析 大数据 数据挖掘 算法
陌陌,Python,[北京·望京],20k-35k,经验3-5年 / 本科, 社交
学堂在线,Python开发工程师,[北京·海淀区],15k-25k,经验3-5年 / 本科, 教育 tornado flask django
深瞐科技,python,[武汉·东湖新…],8k-16k,经验1-3年 / 本科, Java
Veeva,Python软件开发工程师,[北京·朝阳区],15k-25k,经验3-5年 / 本科, 云计算 高级 中级 web Java
坚果云,高级Python,[上海·张江],20k-40k,经验3-5年 / 本科, 云计算 Java 分布式 redis
好巧,python工程师,[武汉·中南路],10k-20k,经验3-5年 / 本科, linux MySQL
